Namespace(data_folder='./data/', data_name='grey_train_pool', hidden_size=10, loss_model=3, lr=0.0001, num_epoch=100001, out_dim=32, sar_size1=5, sar_size2=11, sar_size3=17, save_epoch=5000, test_epoch=100, test_n_query=1, test_n_shot=5, test_n_way=7, test_num=0, train_n_query=15, train_n_shot=5, train_n_way=7, trainset_ratio=0.7)
epoch: 499, test_acc: 73.00 %, loss: 0.5984
epoch: 999, test_acc: 72.89 %, loss: 0.8174
epoch: 1499, test_acc: 74.97 %, loss: 0.5908
epoch: 1999, test_acc: 75.69 %, loss: 0.4585
epoch: 2499, test_acc: 74.63 %, loss: 0.3128
epoch: 2999, test_acc: 76.17 %, loss: 0.5624
epoch: 3499, test_acc: 78.29 %, loss: 0.5196
epoch: 3999, test_acc: 76.20 %, loss: 0.3734
epoch: 4499, test_acc: 78.26 %, loss: 0.3746
epoch: 4999, test_acc: 79.80 %, loss: 0.3774
epoch: 5499, test_acc: 76.49 %, loss: 0.2918
epoch: 5999, test_acc: 78.14 %, loss: 0.4118
epoch: 6499, test_acc: 79.80 %, loss: 0.3686
epoch: 6999, test_acc: 78.60 %, loss: 0.2346
epoch: 7499, test_acc: 80.09 %, loss: 0.1875
epoch: 7999, test_acc: 79.51 %, loss: 0.3019
epoch: 8499, test_acc: 80.40 %, loss: 0.2278
epoch: 8999, test_acc: 79.14 %, loss: 0.1866
epoch: 9499, test_acc: 80.26 %, loss: 0.1436
epoch: 9999, test_acc: 81.63 %, loss: 0.2762
epoch: 10499, test_acc: 80.71 %, loss: 0.1849
epoch: 10999, test_acc: 82.26 %, loss: 0.2335
epoch: 11499, test_acc: 83.29 %, loss: 0.2390
epoch: 11999, test_acc: 83.29 %, loss: 0.2573
epoch: 12499, test_acc: 83.51 %, loss: 0.3405
epoch: 12999, test_acc: 82.06 %, loss: 0.2012
epoch: 13499, test_acc: 84.46 %, loss: 0.1351
epoch: 13999, test_acc: 83.17 %, loss: 0.2300
epoch: 14499, test_acc: 82.37 %, loss: 0.2595
epoch: 14999, test_acc: 83.54 %, loss: 0.3878
epoch: 15499, test_acc: 82.09 %, loss: 0.1274
epoch: 15999, test_acc: 83.46 %, loss: 0.2435
epoch: 16499, test_acc: 83.89 %, loss: 0.1911
epoch: 16999, test_acc: 84.74 %, loss: 0.2269
epoch: 17499, test_acc: 82.29 %, loss: 0.1179
epoch: 17999, test_acc: 84.54 %, loss: 0.1783
epoch: 18499, test_acc: 82.34 %, loss: 0.2611
